ID,Component,Material,Motion,Volume mm^3,Notes
A01,Housing and six structural stops,6061-T6 aluminium,fixed,286965.327,CNC concept; six integral Ø12 stops finish at z40. Three Ø3 weeps; underside cable port.
A02,Perimeter sliding wiper,EPDM,fixed,1344.071,Nominal lip envelope in 2 mm groove; friction and water ingress unqualified.
A03_1,Stop bumper ring,EPDM,fixed,87.965,Contact at 1.50 mm stroke; compress 0.50 mm before metal stop.
A03_2,Stop bumper ring,EPDM,fixed,87.965,Contact at 1.50 mm stroke; compress 0.50 mm before metal stop.
A03_3,Stop bumper ring,EPDM,fixed,87.965,Contact at 1.50 mm stroke; compress 0.50 mm before metal stop.
A03_4,Stop bumper ring,EPDM,fixed,87.965,Contact at 1.50 mm stroke; compress 0.50 mm before metal stop.
A03_5,Stop bumper ring,EPDM,fixed,87.965,Contact at 1.50 mm stroke; compress 0.50 mm before metal stop.
A03_6,Stop bumper ring,EPDM,fixed,87.965,Contact at 1.50 mm stroke; compress 0.50 mm before metal stop.
A04,Underside cable grommet,EPDM,fixed,188.496,Cable exits underside into a receiving recess; cable itself excluded from rigid envelope.
A10,Moving load-spreading plate,6061-T6 aluminium,cover,190202.682,18 countersunk M3 fixing holes; 1.00 mm side clearance to pan.
A11,Replaceable textured tread,EPDM rubber,cover,62446.468,2 mm nominal including adhesive allowance; grooves 0.35 mm deep. Slip resistance untested.
F01_1,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_2,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_3,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_4,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_5,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_6,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_7,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_8,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_9,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_10,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_11,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_12,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_13,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_14,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_15,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_16,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_17,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
F01_18,Cover mounting screw M3 x 10,Stainless steel,cover,89.703,Thread envelope; no helical threads.
G01_1,Captive guide and return retainer,Stainless steel,fixed,1043.7,"Ø6 shaft, Ø10 head; lower M4 female thread. Head underside at z36 sets rest height."
