Hole,X_mm,Y_mm,Through_diameter_mm,Countersink_diameter_mm,Countersink_depth_mm
1,28.35,-19.0,3.4,6.8,1.7
2,28.35,19.0,3.4,6.8,1.7
3,80.5,-25.5,3.4,6.8,1.7
4,80.5,25.5,3.4,6.8,1.7
5,2.279483,34.05182,3.4,6.8,1.7
6,-30.629483,15.05182,3.4,6.8,1.7
7,-18.166352,82.465045,3.4,6.8,1.7
8,-62.333648,56.965045,3.4,6.8,1.7
9,-30.629483,-15.05182,3.4,6.8,1.7
10,2.279483,-34.05182,3.4,6.8,1.7
11,-62.333648,-56.965045,3.4,6.8,1.7
12,-18.166352,-82.465045,3.4,6.8,1.7
13,30.0,67.549981,3.4,6.8,1.7
14,48.0,67.549981,3.4,6.8,1.7
15,-87.0,0.0,3.4,6.8,1.7
16,-69.0,0.0,3.4,6.8,1.7
17,30.0,-67.549981,3.4,6.8,1.7
18,48.0,-67.549981,3.4,6.8,1.7
